"Ovr","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"99","ARZ","-2","9","4","9","3","14","17","5","9","8","-4","4","","3","11","5","4","0"
"100","ATL","6","21","4","6","0","21","-1","8","5","1","12","3","1","","4","2","4","3"
"132","BLT","11","7","11","5","6","6","11","5","10","","17","5","6","10","7","8","3","4"
"146","BUF","17","20","4","7","14","8","","5","5","7","4","8","5","12","1","10","","19"
"101","CAR","1","4","15","9","1","9","8","2","-2","9","9","11","","7","1","4","5","8"
"57","CHI","10","5","6","6","3","7","10","-1","-4","1","4","0","-1","","7","3","-2","3"
"101","CIN","1","4","18","7","4","1","4","6","6","","1","2","4","8","9","7","","19"
"106","CLV","6","3","10","3","0","0","5","13","","-3","1","4","27","4","15","3","13","2"
"165","DAL","5","7","9","10","22","3","24","11","","5","16","4","20","4","3","7","10","5"
"102","DEN","5","7","16","1","14","7","4","7","","4","1","2","12","7","10","-4","5","4"
"93","DET","-3","9","2","-2","1","","4","3","11","10","10","4","5","8","13","-4","15","7"
"118","GB","1","9","11","6","3","3","9","6","3","5","5","0","8","","13","11","23","2"
"104","HST","7","6","11","2","11","","-3","8","5","3","0","6","7","7","5","11","5","13"
"111","IND","6","0","6","3","13","6","5","5","6","3","8","3","0","","28","9","-2","12"
"137","JAX","6","21","9","9","5","-1","1","5","5","6","","5","-2","12","12","14","17","13"
"121","KC","3","10","8","4","1","3","13","","4","6","9","11","1","15","3","8","8","14"
"103","MIA","18","-4","8","1","-2","3","12","1","14","6","","18","5","4","3","4","3","9"
"99","MIN","12","6","2","6","4","13","","10","6","15","-4","9","5","-1","1","8","-2","9"
"185","NE","4","8","4","11","22","13","6","9","25","","17","2","4","20","10","14","12","4"
"109","NO","5","4","3","4","6","4","-2","16","3","7","5","5","6","","7","8","18","10"
"106","NYG","4","7","0","15","2","7","4","5","","9","-1","3","10","1","17","4","14","5"
"122","NYJ","4","2","4","12","9","25","7","8","10","","10","8","2","7","1","4","4","5"
"73","LV","0","2","3","11","2","","10","0","2","3","5","6","8","7","9","6","-2","1"
"149","PHI","5","12","15","14","4","7","","14","8","6","7","6","10","9","9","10","10","3"
"103","PIT","25","3","1","5","1","3","1","-1","","10","2","9","4","3","5","13","7","12"
"98","LA","9","9","6","0","3","8","","2","3","2","4","4","8","5","7","21","-1","8"
"102","LAC","13","1","-4","8","1","7","4","","7","3","2","5","11","3","7","20","9","5"
"160","SF","5","12","8","21","15","1","1","3","","6","11","15","18","10","9","7","3","15"
"120","SEA","7","14","7","7","1","14","7","13","7","4","","1","8","1","1","1","19","8"
"105","TB","13","26","6","1","6","3","1","4","10","6","","6","3","-2","3","8","8","3"
"95","TEN","8","-3","3","10","6","","19","9","7","12","3","2","-2","-4","8","4","9","4"
"115","WAS","4","-1","5","2","5","13","2","7","5","15","19","7","7","","1","1","5","18"