"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"40.6","Elijah Mitchell","SF","4.1","","","","","","","","","8.8","5.9","4.3","","","","","","17.5"
"254.4","Nick Chubb","CLV","14.3","29.3","17.3","18.7","25.4","7","16.7","22.4","","14.1","6.7","19.2","8","5.4","9.9","10.2","11.6","18.2"
"271.8","Austin Ekeler","LAC","7.2","9.4","5.3","28.9","31.9","14.4","24.7","","19.1","6.3","16","14","10.2","16.4","13","19.9","28.1","7"
"8.7","Jordan Wilkins","IND","","","","","","","","","2.8","1.8","","","","","","0.4","3.7",""
"200.9","Miles Sanders","PHI","16.5","8.6","4.4","27.6","6.4","13.2","","13.8","15.3","5.4","4.8","28","9.8","27.5","2.9","7.3","6.1","3.3"
"56.2","Dontrell Hilliard","TEN","18.9","","4.4","1.8","8.3","","0.4","9.5","0.8","0.8","7.8","1.9","1.6","0","","","",""
"140.4","Dameon Pierce","HST","3.9","7.7","16.1","19.9","17.3","","11.7","11.1","13.9","12.2","1.7","1.6","9.5","13.8","","","",""
"123.7","Latavius Murray","DEN","","","","12.5","","6.4","8.3","11.9","","4.7","13.2","9.8","6.1","3.1","20.2","4","7.2","16.3"
"15","Royce Freeman","HST","","","","","","","","","","","","","","","5.6","3.8","3.9","1.7"
"7.2","Ke'Shawn Vaughn","TB","","","","","","","","","0.4","1.3","","1.5","","","","0.6","0","3.4"
"19.8","Mike Boone","DEN","0.2","0","0","2.9","8.5","0.4","2.3","","","","","","2.6","2.9","","","",""
"0.2","Damien Williams","ATL","0.2","","","","","","","","","","","","","","","","",""
"73.4","Alexander Mattison","MIN","3.6","1.4","10.4","7.8","4","0.3","","10","0.1","1.9","0.8","1.1","7.8","-0.1","0.1","1.7","4.5","18"
"87","Michael Carter","NYJ","10","5","4.6","2.9","15.3","4.7","7.4","6.1","14.6","","1.7","3.6","","2","3.1","5","0.5","0.5"
"7.3","Ty Montgomery","NE","7.3","","","","","","","","","","","","","","","","",""
"65.3","Jaylen Warren","PIT","0.7","1.5","3.3","2.2","6.3","0.2","2.4","7.5","","7.7","0.9","","1.9","2.7","10.9","3","9.8","4.3"
"19","Tevin Coleman","SF","","","","0","18.7","0.3","","","","","","","","","","","",""
"62.5","Eno Benjamin","NO","6.1","5.1","2.3","4.5","11.3","6.4","17.3","4.5","2.7","0","","","0","0.1","","","1.9","0.3"
"29.1","Travis Homer","SEA","0.2","4.2","0.7","","","","","3.1","3.2","0","","11.3","","3.4","3","0","",""
"141.1","D'Andre Swift","DET","23.5","14.7","4.6","","","","","9.3","5","7.2","9.2","4.3","17.1","3.9","7.5","2.5","23.7","8.6"
"5.4","Tony Jones Jr.","SEA","0","2","","","","","","","","","","","3.2","0.2","","","",""
"41.2","Boston Scott","PHI","7","2.1","0","","","1.6","","2.1","0.5","0.5","1.2","2.4","2.1","9.7","0","0","0.6","11.4"
"46","Zonovan Knight","NYJ","","","","","","","","","","","","10.3","11.8","13.7","2.3","1.3","4.4","2.2"
"209.8","Tony Pollard","DAL","2.2","15.8","10.5","0.8","14.6","5.2","10.9","32.7","","18.8","30.9","6.1","22.6","18.2","10.6","8","","1.9"
"5.4","Isaiah Spiller","LAC","","","","","","","-0.5","","2.9","0.3","2.2","0.5","","0","","","",""
"18.3","Brandon Bolden","LV","8.8","","2.1","-0.1","3.4","","","0","0.5","","0.4","","","0","","0","3.2",""
"6","Trayveon Williams","CIN","","","","","","","","","","","0.7","4.2","0.3","0.8","","0","",""
"23.9","Gary Brightwell","NYG","","1.4","","0","6.5","0","","0","","","0","4.9","","4.1","","-0.1","0.9","6.2"
"1","Jakob Johnson","LV","0.1","0","0","0","0.5","","0","0","0","0","0","0","0","0.1","0","0","0","0.3"
"56.5","Darrell Henderson","JAX","7.3","10.7","1.7","3.9","3","11.2","","3","5.6","9.2","0.9","","","","","","",""
"74","Damien Harris","NE","5.8","14.7","10.6","14.4","1.2","","1","5.2","","","9.3","1.6","","","","","5","5.2"
"1.2","Jerome Ford","CLV","","","","","","","","","","","","","0.3","","","","0.9",""
"5","Ronnie Rivers","LA","","","","","","1.4","","3.6","","","","","","","","0","",""
"1.9","Troy Hairston","HST","0.5","0","0","0","0","","0","0.7","0","0","0","0","0","","0","0","0.7","0"
"1.9","Trey Sermon","PHI","","","","1.9","0","","","","","","","","","","","","",""
"194","Aaron Jones","GB","7.6","29","4.7","11.5","8","4.4","19.6","15.7","4.5","21.6","6","15.9","5","","18.6","3.8","11.3","6.8"
"3.5","Kene Nwangwu","MIN","","","","","","","","","","","0.6","","","","","","0","2.9"
"15.9","Sony Michel","LAC","1.2","1.9","3.1","2.7","0","4.2","1.3","","1.2","0.2","0.1","","","","","","",""
"140.3","Jerick McKinnon","KC","4.9","7.6","2","0","7.2","3","4.8","","4.4","5.8","2.4","2.6","12","25.4","24.2","9.8","17.6","6.6"
"3.3","Larry Rountree III","LAC","","","","","","","","","","","","","","","","0","2.8","0.5"
"21.3","C.J. Ham","MIN","0.6","0","1.5","0","0","0.3","","0","0","6.3","0","0","0","0.9","6.5","0.5","0","4.7"
"81.3","Clyde Edwards-Helaire","KC","19.4","11.8","9.9","21.4","3.5","3.3","9.2","","1.9","0","0.9","","","","","","",""
"139.5","AJ Dillon","GB","15.1","6.7","3.8","8.4","3.4","5.3","1.5","6.3","4.4","6.5","2.3","14.8","17.9","","19.1","10.6","10.1","3.3"
"9.7","Darrynton Evans","CHI","","","","","","","","","","","0","6.7","2.1","","0.9","","",""
"0.4","Duke Johnson Jr.","BUF","","","","","","","","","","0.4","","","","","","","",""
"6.9","Andrew Beck","DEN","5.2","-0.1","0","0","0","0.7","0","0","","","","0","","","0.1","0","1","0"
"0","Minkah Fitzpatrick","PIT","","","","","","","","","","","","0","","","0","","",""
"23","Avery Williams","ATL","1.5","0.6","0.9","2.1","8.1","0.8","0.4","0.7","0.2","2.5","","0","","","1","3","0","1.2"
"124.4","Jonathan Taylor","IND","23.5","6.3","9.1","4.3","","","8.5","7.6","","22.3","15.4","15.8","10.3","","1.3","","",""
"0.9","Jason Cabinda","DET","","","","","","","","","","0","0","0","0.4","0","0","","0.5","0"
"66.1","Melvin Gordon III","DEN","7.2","5.3","11.5","0.8","10.3","0.8","5","11.2","","7","7","","","","","","",""
"15.2","Derek Watt","PIT","0","0.2","0","0","0.1","0","0","6.6","","0.5","0","0.5","0.7","0","0.2","0","0.3","6.1"
"19.2","Jonathan Williams","WAS","0","","0.6","4.8","","","","","","","","2.2","0.1","","","4.1","3.3","4.1"
"9","Patrick Ricard","BLT","0.7","0.5","1.2","2","0","0","2","0","0.6","","0.4","1.4","0","0.2","0","0","0","0"
"9.9","Tyrion Davis-Price","SF","","3.3","","","","0","0.4","","","","","","","","","3","0.5","2.7"
"0","Antonio Williams","NYG","","0","","","","","","","","","","","","","","","",""
"104.1","Samaje Perine","CIN","3.7","1","12.1","0","5.6","1.6","0.8","1.7","5.4","","26.2","15.3","15.5","8.4","2.4","2.2","","2.2"
"75.8","Chuba Hubbard","CAR","0.3","0","2.5","0","0","0.7","13.3","","","1.4","2.5","6.5","","15.9","6.7","12.5","6.5","7"
"119.9","Antonio Gibson","WAS","13","10.1","10","6.3","3.9","5.3","13.7","13.7","4.7","11.8","10.3","5.4","5.9","","2.7","3.1","",""
"6.8","Phillip Lindsay","IND","","","","","5.4","1.2","","","0.2","","","","","","","","",""
"31.8","Jordan Mason","SF","","","0.7","","0","","","","","","1.4","2.5","5.1","5.6","6.4","","7.3","2.8"
"23.3","Alec Ingold","MIA","1","1.6","0","0","0","1.2","0","6.6","0","10.5","","0","1.5","0","0.9","0","0","0"
"0","Khari Blasingame","CHI","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0"
"173.6","Travis Etienne Jr.","JAX","6.5","5.3","7.5","3.2","11.4","10.8","17.9","22.2","24.6","7.3","","0.3","6.6","3.2","12.7","11.2","19.5","3.4"
"12.9","Reggie Gilliam","BUF","0","7.7","2.2","0","0","1.8","","0","0","0","0","0","0","","0","1.2","","0"
"28.7","Dare Ogunbowale","HST","","0","","","","","6.2","0","0","1.3","0.5","8","2.1","0.1","1.4","2.8","2.5","3.8"
"0","Luke Gifford","DAL","","0","","","","","","","","","","","","","","","",""
"139.4","Raheem Mostert","MIA","3.2","7.9","1.1","8.1","18.2","4.8","16.9","6.7","8.6","14.7","","","3","4.4","15.6","5","15.1","6.1"
"30.3","Marlon Mack","DEN","","","","","","","","","","","","1.2","0.9","13.7","12.3","2.2","",""
"13.6","Zander Horvath","LAC","6.8","6.1","0","0","0.3","0","0","","0","0.1","0.3","0","0","0","0","0","",""
"30.8","Ty Johnson","NYJ","","0.4","0","","","","0.9","0.6","1.7","","0.4","13.8","4.1","","","0.7","5.7","2.5"
"215.9","Jamaal Williams","DET","15","6","22.7","22.9","5.6","","8.3","19.6","8.1","11.9","24.4","12.6","9.5","3.7","3.3","1.4","21.7","19.2"
"4.1","Anthony McFarland Jr.","PIT","","","","","","","","","","","","4.1","","","","","",""
"0","Rico Dowdle","DAL","","0","0","","0","","","","","","","","","","","","",""
"5.4","Myles Gaskin","MIA","","","","","3.3","","","","","","","2.1","","","","","",""
"175.5","Kenneth Walker III","SEA","","1.5","3.3","2.4","14.8","17","28.7","11.2","24.9","7.2","","15.9","3.6","","7.9","10.5","14.2","12.4"
"20.2","Pierre Strong Jr.","NE","","0","","","","0.5","0","","0","","","","","15","3.7","1","0","0"
"91.8","Kareem Hunt","CLV","19","7.4","6.1","6.8","11.7","1.2","6.8","7.2","","1.9","5.4","2.1","7.4","1.2","2.7","2.2","-0.1","2.8"
"168.8","Ezekiel Elliott","DAL","4.9","4.9","13.5","8.1","7.8","14.6","17.7","","","","16.7","15.5","15.1","14.1","13.1","12.1","9.7","1"
"129.7","Cordarrelle Patterson","ATL","19.6","4.1","21.3","9.8","","","","","17.3","2","5.9","7.1","6","","11.2","3.1","14.4","7.9"
"4.5","Dwayne Washington","NO","","1.8","","0","0","0","0","1.3","1.4","0","0","0","","","","","",""
"0.8","Reggie Bonnafon","WAS","","","","","","","","","","","","","","","","","","0.8"
"0.1","Jordan Howard","NO","","","","","","","","","0","0.1","","","","","","","",""
"277.3","Josh Jacobs","LV","7.3","8.1","9.7","29.5","25.3","","33.5","5.4","8.7","16.6","16","42.3","21","17.4","11","5","15.5","5"
"0.7","Devine Ozigbo","DEN","","","","","0.2","","","","","","","0.3","","","0.2","","",""
"0","Khalen Saunders","KC","","","0","","","","","","","","","","","","","","","0"
"61.3","Gus Edwards","BLT","","","","","","","18.6","6.5","","","","11.2","1.2","6.6","5.5","9.9","0.2","1.6"
"7.8","Jaret Patterson","WAS","","","","","","","","","","","","","","","","","","7.8"
"42.9","Caleb Huntley","ATL","","0.3","","11.6","3.4","5.9","2.2","9.1","3.4","3.2","0.6","1.3","1.7","","0.2","","",""
"0","Talanoa Hufanga","SF","","","","","","","","","","","0","","","","","","",""
"56.5","Deon Jackson","IND","","-0.3","","","9.1","18.1","0.3","-0.4","3.6","","1","0","0.6","","11.6","0.9","1","11"
"225","Saquon Barkley","NYG","25.4","8.8","18.6","16.2","16.6","15.5","13.5","12.2","","22","3.5","11.2","14.1","4.8","18","19.3","5.3",""
"186.7","Najee Harris","PIT","8.6","8.9","12.1","7.4","3.6","10.9","8","5.8","","9.9","23.6","9.9","9.2","11","14.6","9.5","18.3","15.4"
"15","Hassan Haskins","TEN","0","3.7","0","","0","","0.5","0","0.7","0","0","0","","","1.5","1.7","5.3","1.6"
"5.3","Julius Chestnut","TEN","","","","","","","","","","","","","1.3","0.8","0","","3.2",""
"2.7","Giovani Bernard","TB","","","","","","","","","","","","","","","","","","2.7"
"50","JaMycal Hasty","JAX","0","","0","2.2","0.6","11.7","0.6","1","1.1","0.3","","15.5","0","1.3","1.5","2.1","11.6","0.5"
"34.4","Rex Burkhead","HST","7","0.9","3","9.9","2.8","","1.9","0.2","1.5","3","0","0.5","","0.2","1.7","0.7","1","0.1"
"147.7","David Montgomery","CHI","5","13.6","1.1","","14.2","8","12.2","7.5","4.4","4.4","18.1","11.3","12.7","","21.1","8.4","3.6","2.1"
"1.8","Michael Burton","KC","0","0.8","0.2","0","0","0","0","","0.9","-0.1","0","","0","0","0","0","0","0"
"26.8","J.D. McKissic","WAS","2.8","6.3","4","5.6","3.7","2","0.4","2","","","","","","","","","",""
"132.3","Cam Akers","LA","0","6.2","12.1","1.3","3.3","","","","0.3","2.2","6.1","3.7","18","10.3","10","32.7","13.3","12.8"
"156.3","James Conner","ARZ","11.5","5.1","5.7","7.7","6.3","","","","6.4","20.6","11.4","20","","17.5","15.1","18","11",""
"3.2","Jonathan Ward","TEN","","","","","","","","","","","","","","","","","3","0.2"
"74.2","J.K. Dobbins","BLT","","","4","18.3","4.4","1.5","","","","","","","","18","12.8","5.9","9.3",""
"1","Keith Smith","ATL","0","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","0"
"65","Kenneth Gainwell","PHI","9.2","1.8","0.6","7.7","2","2.5","","1.1","9.8","1.2","0","10.6","5.3","0","1.4","5.8","1.8","4.2"
"28","Javonte Williams","DEN","10.8","8.5","6","2.7","","","","","","","","","","","","","",""
"13.2","Salvon Ahmed","MIA","","","","","","","","0.2","","1.1","","","","0.1","10.3","","0.8","0.7"
"0","Alex Armah","WAS","","","","","","","0","","0","","","","","","","","",""
"2.2","Mike Davis","BLT","1.1","0.4","0","0","0.3","0","","","0.7","","-0.3","","","","","","",""
"28.4","Malik Davis","DAL","","","","","","","","4.1","","3.8","3.5","","8.9","","","0","6.2","1.9"
"0","Cameron Sutton","PIT","","","","","","","","","","","","","0","","","","",""
"48.2","Rashaad Penny","SEA","6.7","1.5","6.9","27.7","5.4","","","","","","","","","","","","",""
"21.5","Kyren Williams","LA","","","","","","","","","","3.9","4.4","6","0.9","2.9","0.7","2.1","0.6",""
"103.7","Brian Robinson","WAS","","","","","2.2","12","8.6","2","3.8","14.6","5.7","18.5","11.1","","10.7","5.8","8.7",""
"15.2","Ronald Jones","KC","","","","","","","","","","","","3.4","0","","0.6","0.4","0.3","10.5"
"182.2","Rhamondre Stevenson","NE","2.7","5.1","16.1","8.9","17.5","21.1","15.8","14.3","13","","8.2","11.2","7.8","1.1","22.8","3.3","5.1","8.2"
"5.3","Spencer Brown","CAR","","","","","","","","2.7","2.6","","","","","","","","",""
"39.4","Nyheim Hines","BUF","5.4","3.7","3","0.3","0.8","","4.3","10.9","0","0.9","-0.8","0.3","1.8","0.7","7","1.1","","0"
"140.5","Jeff Wilson Jr.","MIA","3","10.3","10.6","13.4","19.2","2.5","5.4","3.5","13.2","20.3","","11.2","0.3","2.6","","10","7.6","7.4"
"123.9","D'Onta Foreman","CAR","0.5","0.9","0","0.2","0.2","1.9","14.5","29.8","2.1","19","2.4","11.3","","7.5","0.9","22.5","3.5","6.7"
"86.8","James Cook","BUF","0.2","5.3","4","0","9.1","0.8","","7.6","3.3","2.2","8.6","1.8","10.5","1.5","9.9","16.8","","5.2"
"98.1","Breece Hall","NYJ","6.1","12","9.2","13.8","25.7","18.1","13.2","","","","","","","","","","",""
"55.5","Zack Moss","IND","3.6","1.7","5.2","0.6","0.7","","","","","0.4","0.7","0.2","1.8","","8.1","7","7.4","18.1"
"6.2","Trestan Ebner","CHI","0","","2.3","2.8","0","0","0.8","-0.5","0","","0.8","0","0","","0","","0","0"
"11.2","Kevin Harris","NE","","","","","","0.5","","","","","","","-0.1","8.6","1.9","0.3","",""
"0","Mike Hilton","CIN","","","","","","","","","","","0","","","","","","",""
"0.7","Kylin Hill","GB","","","","","","","","","0.7","","","","","","","","",""
"0.7","Godwin Igwebuike","SEA","","","","","","","","","","","","","","","","","0.7","0"
"162.7","Alvin Kamara","NO","4.6","","7.3","","19.4","12.3","10.5","33.8","6.2","4.5","8.9","5","3.7","","10.4","17","8.1","11"
"108.9","Khalil Herbert","CHI","10.3","4.1","28.9","10.1","1.1","7.5","14.7","15.9","2.3","5.7","","","","","","0.3","3.1","4.9"
"1.8","Adam Prentice","NO","0","0.2","0","","","","","","","0","0","0","0.2","","0.3","0.5","0.6","0"
"39.1","Justin Jackson","DET","","","","6.7","1.4","","0.2","","2.7","2.8","7.7","1.9","2.3","9.1","3.1","-0.1","","1.3"
"14.5","Keaontay Ingram","ARZ","","","","","","0.7","10.1","","0.2","0.5","1.9","0.5","","0.1","0","0.2","0","0.3"
"141.4","Tyler Allgeier","ATL","","3","3","10.4","4.5","5.1","11","14.5","12.3","0.3","6.4","5.4","5.2","","19.6","11.7","15.5","13.5"
"7","Zamir White","LV","","0.2","","2.4","-0.7","","0.2","0","-0.1","-0.1","","2.8","0.6","0.9","0.4","","","0.4"
"2","Ty Chandler","MIN","","","","","","","","","","","","","","","","","","2"
"145.9","Devin Singletary","BUF","6.2","2.1","15.1","9.6","4.6","10.7","","8.3","4.8","16.7","15.7","8","11.1","4.3","7","18.5","","3.2"
"1.7","J.J. Taylor","NE","","","","","","","","","1.7","","","","","","","","",""
"7.1","David Johnson","NO","","","","","","","","","","","0.7","","","","1.2","2.4","0","2.8"
"271.2","Derrick Henry","TEN","8.2","8.5","20.3","20.7","25.2","","13.8","34.8","23.5","6.7","19.2","11.7","3.8","21","22.4","18.6","","12.8"
"29.1","Ameer Abdullah","LV","0","2.3","","0","","","0.7","2.8","0.8","3.3","0.5","11.5","0.4","1.7","1.4","2.7","0","1"
"0.3","Nick Bellore","SEA","0","0","","","","0","","","0","","","","0","0","","","0","0.3"
"10.2","Snoop Conner","JAX","","","","","","","","0","0","","","1.1","0.6","","0.3","0.5","7.7","0"
"17.8","Malcolm Brown","LA","","","","0","0","2.8","","1","1.9","","","","","1.7","0","2.1","8.3",""
"32","Justice Hill","BLT","1.1","1.6","6","5.7","","","2.6","2.8","1.9","","3.8","0.3","0.6","0","1.8","0.4","0","3.4"
"58.2","Chase Edmonds","DEN","6.5","4.1","14.7","8","0.1","3.1","1.7","1.4","","0.9","0.6","","","","","5.3","7.3","4.5"
"0","Xavier McKinney","NYG","","","","","","0","","","","","","","","","","","",""
"0.5","Ty'Son Williams","ARZ","","","","","","","","","","","","","","","","","","0.5"
"35","Raheem Blackshear","CAR","","","","","","","-0.5","0.1","11.3","3.2","1.4","1.1","","10.9","0","7.5","-0.1","0.1"
"266","Christian McCaffrey","SF","11.7","12.8","11.5","16.8","16.4","15.8","6.2","26.9","","13.7","10.6","4.9","20.6","27.3","19.8","11.8","25.3","13.9"
"207.9","Dalvin Cook","MIN","10.8","3.6","15.6","8.6","24.1","14.3","","20.1","11.6","20.6","7.2","5.6","14.3","9.6","25","7.7","5.1","4.1"
"50.8","Joshua Kelley","LAC","3.5","2.5","0.3","1.5","14.2","0","","","","","","2","3","3.5","9.1","4.2","4.6","2.4"
"179.6","Joe Mixon","CIN","14.5","8.3","3.8","13.4","8.8","12.8","15.1","5.9","51.1","","6.2","","","10.6","5.5","10.8","","12.8"
"94.8","Rachaad White","TB","2.1","0.1","0","11.6","4.2","2.3","3.2","4.3","3.4","10.5","","10.9","12.9","7.4","4.3","11.3","4.8","1.5"
"0","Tory Carter","TEN","0","0","0","0","0","","","","","","0","","","","","","",""
"87.1","Kenyan Drake","BLT","4.6","0.8","","","2.7","18.7","0.5","12.7","22.9","","5.3","0.2","4.6","0.2","","","","13.9"
"126","Isiah Pacheco","KC","12.2","0.6","0.9","6.3","0","1.8","4.3","","0.9","8.2","10.7","14.6","14.2","9.3","9.7","9","10.9","12.4"
"34.6","Kyle Juszczyk","SF","0","6.1","2.4","4.4","2.7","3.3","3.4","","","0","0.4","0.2","7.2","0.7","0","0","0.9","2.9"
"155.2","Leonard Fournette","TB","13.7","7.4","7","11.4","25.9","16.1","2.6","11.8","6","11.8","","","8.1","4.6","7.4","16.3","4.7","0.4"
"77.6","James Robinson","NYJ","18.9","13.8","17.6","2.9","3.9","5.5","0","1.7","11.3","","1","","1","","","","",""
"0","Julian Love","NYG","","","","","","","","","","0","","","","","0","","",""
"31.2","DeeJay Dallas","SEA","0","0","3.8","0","1","0.1","4.1","0","0.4","","","1.5","3.7","","","4.2","9.8","2.6"
"16.7","Benny Snell Jr.","PIT","","","","","","","","","","","0","12.8","3.5","0.4","","","",""
"0","Qadree Ollison","DAL","","","","","","","","0","","","","","","","","","",""
"8.4","Tyler Badie","DEN","","","","","","","","","","","","","","","","","","8.4"
"17.1","Darrel Williams","ARZ","","12.2","0.7","1.9","0.9","","","1.4","","","","","","","","","",""
"36.1","Mark Ingram II","NO","2.3","6.1","7.8","4.3","1.6","5.7","2.2","0.2","","","","1","4.9","","","","",""
"21.8","Craig Reynolds","DET","","2.9","1.8","4.2","9.2","","3","0.7","0","","","","","","","","0",""
"9.8","Chris Evans","CIN","","0","0.4","0","","0","","2.6","0","","","0","6.8","","","","",""
"2.4","D'Ernest Johnson","CLV","","","","0","","0.9","","1.7","","-0.2","","","","","0","0","",""
"4.8","Patrick Taylor","GB","","","","","","0","","","","","","","0.6","","1.5","1.7","1",""
"16.9","Corey Clement","ARZ","","","","","","","0","","","","","0.8","","2.1","","","3.2","10.8"
"39.8","Matt Breida","NYG","2.4","-0.4","0.3","1.8","2.7","1.1","3.3","1.5","","2","8.9","1.5","0.4","1.5","1.2","0.9","6.7","4"